Time,Channel A
(us),(V)

-2.02045908,-0.00033570
-2.01045908,-0.00939970
-2.00045908,-0.00033570
-1.99045908,-0.00033570
-1.98045908,-0.00939970
-1.97045908,-0.00033570
-1.96045908,-0.00939970
-1.95045908,-0.00033570
-1.94045908,-0.00939970
-1.93045908,-0.00939970
-1.92045908,-0.00939970
-1.91045908,-0.00939970
-1.90045908,-0.00033570
-1.89045908,-0.00033570
-1.88045908,-0.00939970
-1.87045908,-0.00939970
-1.86045908,-0.00033570
-1.85045908,-0.00939970
-1.84045908,-0.00033570
-1.83045908,-0.00033570
-1.82045908,-0.00033570
-1.81045908,-0.00033570
-1.80045908,-0.00033570
-1.79045908,-0.00033570
-1.78045908,-0.00939970
-1.77045908,-0.00033570
-1.76045908,-0.00033570
-1.75045908,-0.00033570
-1.74045908,-0.00033570
-1.73045908,-0.00033570
-1.72045908,-0.00033570
-1.71045908,-0.00033570
-1.70045908,-0.00033570
-1.69045908,-0.00939970
-1.68045908,-0.00939970
-1.67045908,-0.00939970
-1.66045908,-0.00033570
-1.65045908,-0.00939970
-1.64045908,-0.00033570
-1.63045908,-0.00939970
-1.62045908,-0.00939970
-1.61045908,-0.00033570
-1.60045908,-0.00939970
-1.59045908,-0.00033570
-1.58045908,-0.00033570
-1.57045908,-0.00939970
-1.56045908,-0.00939970
-1.55045908,-0.00939970
-1.54045908,-0.00939970
-1.53045908,-0.00033570
-1.52045908,-0.00033570
-1.51045908,-0.00939970
-1.50045908,-0.00939970
-1.49045908,-0.00033570
-1.48045908,-0.00033570
-1.47045908,-0.00033570
-1.46045908,-0.00033570
-1.45045908,-0.00033570
-1.44045908,-0.00939970
-1.43045908,-0.00033570
-1.42045908,-0.00939970
-1.41045908,-0.00033570
-1.40045908,-0.00033570
-1.39045908,-0.00939970
-1.38045908,-0.00939970
-1.37045908,-0.00939970
-1.36045908,-0.00033570
-1.35045908,-0.00033570
-1.34045908,-0.00033570
-1.33045908,-0.00033570
-1.32045908,-0.00939970
-1.31045908,-0.00033570
-1.30045908,-0.00033570
-1.29045908,-0.00033570
-1.28045908,-0.00939970
-1.27045908,-0.00939970
-1.26045908,-0.00939970
-1.25045908,-0.00033570
-1.24045908,-0.00033570
-1.23045908,-0.00033570
-1.22045908,-0.00939970
-1.21045908,-0.00033570
-1.20045908,-0.00033570
-1.19045908,-0.00033570
-1.18045908,-0.00033570
-1.17045908,-0.00033570
-1.16045908,-0.00033570
-1.15045908,-0.00033570
-1.14045908,-0.00033570
